               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.034769,             0.02216,           0.0043834,                   0,                   0,                   0,                   0,                   0,          7.2122e-06,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.035486,            0.023313,           0.0042776,                   0,                   0,                   0,                   0,                   0,          4.7684e-07,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.035503,             0.02222,           0.0041077,                   0,                   0,                   0,                   0,                   0,          6.7234e-05,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,             0.03459,            0.022883,           0.0044517,                   0,                   0,                   0,                   0,                   0,          3.4094e-05,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.035521,            0.022755,            0.004307,                   0,                   0,                   0,                   0,                   0,          2.6524e-05,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.035662,             0.02265,           0.0049693,                   0,                   0,                   0,                   0,                   0,          3.5882e-05,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,             0.03523,             0.02258,           0.0043086,                   0,                   0,                   0,                   0,                   0,          5.9009e-06,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.033858,            0.022157,           0.0042087,                   0,                   0,                   0,                   0,                   0,          5.6744e-05,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.034585,            0.021663,           0.0043879,                   0,                   0,                   0,                   0,                   0,          2.1517e-05,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.034913,            0.023056,           0.0044316,                   0,                   0,                   0,                   0,                   0,          4.2617e-05,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,             0.03457,            0.022695,           0.0042208,                   0,                   0,                   0,                   0,                   0,          1.4663e-05,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.034076,            0.021544,           0.0042203,                   0,                   0,                   0,                   0,                   0,          5.3644e-07,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.035169,            0.022592,           0.0044384,                   0,                   0,                   0,                   0,                   0,           4.828e-06,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,             0.03402,            0.022613,            0.004212,                   0,                   0,                   0,                   0,                   0,           0.0002203,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.033524,            0.021433,           0.0041667,                   0,                   0,                   0,                   0,                   0,          8.1658e-06,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.034304,            0.021955,           0.0043666,                   0,                   0,                   0,                   0,                   0,          5.9605e-06,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.033922,            0.022142,           0.0042592,                   0,                   0,                   0,                   0,                   0,          8.4639e-06,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.034432,            0.021182,           0.0044139,                   0,                   0,                   0,                   0,                   0,          2.2054e-06,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.033378,            0.021516,           0.0042467,                   0,                   0,                   0,                   0,                   0,           2.104e-05,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.034116,            0.021618,           0.0038832,                   0,                   0,                   0,                   0,                   0,          4.2379e-05,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.033179,            0.022257,           0.0041287,                   0,                   0,                   0,                   0,                   0,          5.2273e-05,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,             0.03281,            0.021318,           0.0042061,                   0,                   0,                   0,                   0,                   0,          9.6738e-05,                   0,            0.007921,            0.007921,            0.007921
                 107,             0.03345,            0.021878,           0.0042178,                   0,                   0,                   0,                   0,                   0,          7.0512e-05,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.033836,            0.021929,           0.0041345,                   0,                   0,                   0,                   0,                   0,          4.3929e-05,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.033393,            0.021852,           0.0042397,                   0,                   0,                   0,                   0,                   0,          3.6955e-06,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.033399,            0.022289,           0.0038628,                   0,                   0,                   0,                   0,                   0,          4.6492e-06,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,             0.03355,            0.021534,           0.0039301,                   0,                   0,                   0,                   0,                   0,          2.8014e-06,                   0,            0.007822,            0.007822,            0.007822
                 112,             0.03224,            0.021936,           0.0039696,                   0,                   0,                   0,                   0,                   0,          2.3901e-05,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.032572,            0.021106,           0.0041002,                   0,                   0,                   0,                   0,                   0,           1.657e-05,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.033104,            0.021123,           0.0038552,                   0,                   0,                   0,                   0,                   0,          8.1778e-05,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.034462,            0.021176,           0.0044707,                   0,                   0,                   0,                   0,                   0,          0.00020701,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.033077,             0.02123,           0.0040565,                   0,                   0,                   0,                   0,                   0,          5.3227e-05,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.032715,            0.021791,           0.0039743,                   0,                   0,                   0,                   0,                   0,          5.5432e-05,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.032462,            0.020762,           0.0039435,                   0,                   0,                   0,                   0,                   0,           4.828e-06,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.032421,            0.020411,           0.0039804,                   0,                   0,                   0,                   0,                   0,          6.5565e-06,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.032311,            0.021423,           0.0038519,                   0,                   0,                   0,                   0,                   0,          1.3113e-06,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.032651,            0.021832,           0.0039331,                   0,                   0,                   0,                   0,                   0,          4.6253e-05,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.032998,            0.021751,           0.0040516,                   0,                   0,                   0,                   0,                   0,          1.0133e-05,                   0,           0.0076042,           0.0076042,           0.0076042
